ID_Local,Rubro,Superficie_m2,Metros_Vidriera,Inversion_CAPEX_USD,Antiguedad_Anios,Inversion_Marketing_Mensual_USD,Alquiler_Mensual_USD,Transito_Peatonal_Pico,Puntos_Interes_Proximos,Distancia_Ancla_Metros,Ubicacion_Esquina,Nivel_Socioeconomico,Densidad_Poblacional_Hab_Km2,Tipo_Ubicacion,Densidad_Competencia,Venta_Online_Pct,Ticket_Promedio_USD,Posicionamiento_Precio,Margen_EBITDA_Pct,Ventas_Anuales_Totales_USD
460,Indumentaria,105,25.0,70403,10.1,1951,4583,526,7,273,0,C3,17256,Calle Comercial,8,0.51,78,Económico,0.26,308337
461,Indumentaria,115,25.0,86047,11.2,2215,7007,529,5,21,0,C3,17481,Calle Comercial,8,0.4,88,Medio,0.31,612673
462,Indumentaria,107,25.0,62342,5.4,3542,8053,429,9,238,0,ABC1,5346,Calle Comercial,9,0.5,127,Premium,0.29,478663
463,Indumentaria,142,25.0,99489,14.3,3460,8480,460,4,88,1,C2,11841,Calle Comercial,12,0.45,106,Premium,0.29,657862
464,Indumentaria,135,22.0,71986,5.9,1473,5058,479,7,38,0,D,19249,Calle Comercial,14,0.54,84,Económico,0.27,399941
465,Indumentaria,103,23.4,62307,5.5,2443,5734,511,5,457,0,C3,19740,Barrio Residencial,1,0.37,83,Medio,0.31,378426
466,Indumentaria,93,22.1,73703,8.1,3587,3496,477,6,705,0,C3,16390,Barrio Residencial,14,0.39,92,Medio-Alto,0.28,497632
467,Indumentaria,118,25.0,76446,12.0,3319,7403,545,6,104,0,C3,17082,Calle Comercial,8,0.5,91,Medio,0.31,620464
468,Indumentaria,126,23.9,71938,3.1,1263,5699,432,5,248,0,C3,13515,Calle Comercial,8,0.55,85,Medio,0.31,307498
469,Indumentaria,138,25.0,60247,3.9,3795,9279,409,8,114,0,ABC1,8955,Calle Comercial,9,0.48,102,Premium,0.27,573281
470,Indumentaria,96,25.0,79694,4.2,4900,6673,502,4,116,1,ABC1,11136,Calle Comercial,5,0.6,99,Premium,0.3,733835
471,Indumentaria,138,22.9,61430,5.9,1185,5601,594,7,26,0,D,24378,Calle Comercial,7,0.57,63,Económico,0.3,299574
472,Indumentaria,143,25.0,93340,5.7,3870,5321,562,3,136,1,C2,13496,Calle Comercial,12,0.51,95,Premium,0.26,738567
473,Indumentaria,96,25.0,74482,3.4,3492,10227,395,5,2,0,ABC1,5185,Centro Comercial,7,0.59,114,Premium,0.31,622532
474,Indumentaria,113,24.7,85234,8.8,3168,4723,498,5,247,0,C2,16977,Barrio Residencial,6,0.59,100,Premium,0.31,658086
475,Indumentaria,129,25.0,86158,1.9,2616,6122,428,2,449,0,C2,15523,Barrio Residencial,9,0.42,94,Medio-Alto,0.29,434156
476,Indumentaria,141,25.0,65062,1.8,1647,7017,493,6,17,0,C3,19223,Shopping,12,0.59,77,Económico,0.26,441927
477,Indumentaria,125,25.0,64532,1.4,2087,6548,432,5,210,0,C2,14604,Calle Comercial,12,0.58,108,Premium,0.28,492209
478,Indumentaria,108,25.0,95679,1.3,4036,8639,361,6,23,0,ABC1,9394,Shopping,15,0.59,89,Premium,0.31,666682
479,Indumentaria,109,21.1,77062,1.9,1518,7355,491,6,41,0,C3,13918,Centro Comercial,2,0.39,66,Económico,0.31,381105
480,Indumentaria,109,19.9,56202,0.4,1769,5257,401,4,205,0,C3,12778,Calle Comercial,5,0.49,94,Medio-Alto,0.31,398136
481,Indumentaria,126,25.0,88474,4.1,1812,11905,399,4,39,0,ABC1,11769,Shopping,10,0.53,119,Premium,0.31,529577
482,Indumentaria,108,22.7,61357,11.8,783,4412,451,7,156,0,D,16800,Calle Comercial,10,0.53,70,Económico,0.3,331637
483,Indumentaria,141,25.0,68410,11.9,3568,9650,542,6,3,0,ABC1,11379,Shopping,2,0.38,89,Premium,0.31,925367
484,Indumentaria,103,24.9,80584,3.9,2878,5962,506,6,63,0,C3,17409,Calle Comercial,9,0.41,79,Económico,0.29,539963
485,Indumentaria,115,22.5,93968,14.0,1460,4982,445,4,213,0,D,15682,Barrio Residencial,13,0.52,80,Económico,0.29,427844
486,Indumentaria,136,22.4,90331,0.8,834,8027,546,6,30,1,D,21189,Centro Comercial,4,0.57,70,Económico,0.26,348006
487,Indumentaria,128,25.0,67319,0.1,2675,13982,480,7,41,1,ABC1,8218,Shopping,13,0.56,104,Premium,0.29,718535
488,Indumentaria,100,17.3,85934,6.4,1042,5370,547,4,18,0,D,23171,Centro Comercial,8,0.37,65,Económico,0.25,528572
489,Indumentaria,123,25.0,66084,5.5,1760,5404,523,4,405,0,C3,16592,Barrio Residencial,5,0.6,92,Medio,0.27,276466
490,Indumentaria,137,25.0,58479,13.6,4546,8336,555,6,29,1,C2,12380,Centro Comercial,6,0.51,96,Premium,0.29,903361
491,Indumentaria,101,23.4,91404,14.5,5769,9334,369,5,38,0,ABC1,5634,Shopping,7,0.57,102,Premium,0.25,926214
492,Indumentaria,126,25.0,62911,4.1,1584,5590,503,5,159,0,C2,15682,Calle Comercial,3,0.55,101,Premium,0.29,342911
493,Indumentaria,118,22.0,75290,6.1,737,3473,574,8,125,0,D,23205,Calle Comercial,5,0.4,68,Económico,0.27,248891
494,Indumentaria,96,22.6,89350,6.4,1879,8384,493,7,22,0,C3,19300,Shopping,7,0.52,84,Medio,0.3,485147
495,Indumentaria,141,25.0,60340,0.8,2376,6876,515,7,47,1,C3,12088,Centro Comercial,7,0.59,102,Medio-Alto,0.27,624085
496,Indumentaria,107,25.0,56140,6.3,5906,10630,450,4,44,1,ABC1,10500,Centro Comercial,10,0.57,138,Premium,0.26,993360
497,Indumentaria,101,25.0,62882,6.3,2334,9050,432,3,10,0,C3,14335,Shopping,2,0.4,96,Medio-Alto,0.25,536852
498,Indumentaria,96,17.9,61461,0.2,1478,4511,486,2,146,0,C3,20763,Calle Comercial,2,0.48,92,Medio-Alto,0.27,396055
499,Indumentaria,91,16.2,58514,1.8,898,4770,516,4,246,0,D,22070,Barrio Residencial,6,0.36,82,Económico,0.3,189657
500,Indumentaria,98,19.5,95435,9.9,3300,8434,595,9,49,0,C3,20869,Centro Comercial,9,0.55,89,Medio,0.31,678083
501,Indumentaria,92,25.0,67631,1.9,1917,7009,440,7,49,0,C3,16972,Centro Comercial,7,0.4,90,Medio,0.31,405836
502,Indumentaria,105,25.0,71345,1.9,1414,5107,530,6,115,0,C2,16983,Calle Comercial,5,0.47,83,Medio,0.3,379892
503,Indumentaria,102,23.2,90835,4.2,1530,4052,523,6,86,0,C3,17265,Calle Comercial,9,0.35,68,Económico,0.26,434618
504,Indumentaria,116,18.8,84311,6.6,1315,4824,463,7,46,0,D,18533,Calle Comercial,15,0.39,85,Económico,0.3,488753
505,Indumentaria,131,25.0,58645,0.8,1422,6854,428,3,215,0,C2,14592,Barrio Residencial,7,0.56,101,Premium,0.29,281945
506,Indumentaria,109,25.0,55147,8.4,5579,11227,517,6,10,1,ABC1,10284,Centro Comercial,7,0.53,112,Premium,0.27,1170062
507,Indumentaria,107,21.4,75715,2.0,2014,5256,532,5,166,0,D,20618,Calle Comercial,12,0.38,74,Económico,0.31,486766
508,Indumentaria,93,25.0,84956,13.3,3597,8230,446,8,263,0,ABC1,11402,Calle Comercial,8,0.43,118,Premium,0.27,746868
509,Indumentaria,119,25.0,95959,1.0,4510,11974,433,5,13,1,ABC1,10763,Centro Comercial,12,0.56,109,Premium,0.32,788968
510,Indumentaria,108,25.0,76335,0.7,3369,7319,452,6,49,0,C2,14377,Calle Comercial,7,0.4,96,Premium,0.28,577054
511,Indumentaria,120,23.3,63720,0.9,1131,5661,541,4,230,0,D,15474,Calle Comercial,11,0.49,67,Económico,0.32,356951
512,Indumentaria,131,25.0,65966,8.4,2547,4682,449,6,254,0,C2,16603,Barrio Residencial,17,0.47,95,Premium,0.31,433435
513,Indumentaria,120,19.4,81050,12.3,2284,5073,539,7,572,0,D,15823,Barrio Residencial,15,0.39,66,Económico,0.29,565580
514,Indumentaria,106,22.2,62382,0.9,1236,4627,531,5,77,0,D,16008,Calle Comercial,10,0.56,83,Económico,0.31,451525
515,Indumentaria,91,25.0,82631,10.5,2562,6033,519,6,22,0,C3,17263,Centro Comercial,9,0.51,77,Económico,0.3,756816
516,Indumentaria,93,21.7,95269,5.9,2601,12011,477,8,26,0,ABC1,9087,Shopping,8,0.48,111,Premium,0.31,641405
517,Indumentaria,138,25.0,83645,8.9,4170,4862,465,5,433,0,C2,14983,Barrio Residencial,18,0.42,105,Premium,0.31,706822
518,Indumentaria,114,21.4,80645,3.3,940,4549,433,6,729,0,D,19550,Barrio Residencial,8,0.52,63,Económico,0.29,304835
519,Indumentaria,143,22.3,98719,0.6,745,5372,482,8,32,0,D,18173,Calle Comercial,3,0.45,77,Económico,0.3,309291
520,Indumentaria,136,25.0,82545,1.0,1890,12547,553,5,13,1,C2,17302,Shopping,8,0.42,93,Medio-Alto,0.26,543094
521,Indumentaria,134,25.0,83198,3.7,2762,11019,443,3,20,0,C2,16403,Shopping,9,0.5,90,Medio,0.27,672809
522,Indumentaria,127,25.0,71970,13.2,3574,7128,494,6,130,0,C3,16601,Calle Comercial,12,0.44,92,Medio,0.26,601436
523,Indumentaria,96,25.0,60622,9.9,1882,4513,457,6,596,0,C2,15398,Barrio Residencial,3,0.38,103,Premium,0.28,374238
524,Indumentaria,91,23.1,56976,14.8,1374,3876,520,5,385,1,D,16038,Barrio Residencial,4,0.42,71,Económico,0.3,422440
525,Indumentaria,100,25.0,90256,12.8,2490,5851,521,5,107,0,C3,18913,Calle Comercial,7,0.4,76,Económico,0.29,426098
526,Indumentaria,124,25.0,89550,3.5,1339,7310,468,8,121,1,C2,14632,Calle Comercial,6,0.59,76,Medio,0.29,425781
527,Indumentaria,103,22.7,84283,1.8,3995,12080,379,6,5,0,ABC1,7214,Centro Comercial,11,0.46,117,Premium,0.28,582782
528,Indumentaria,142,23.6,96885,9.9,1847,3831,536,7,530,0,D,23297,Barrio Residencial,7,0.52,82,Económico,0.3,460592
529,Indumentaria,106,21.8,68984,5.2,1767,4029,491,6,111,0,D,23496,Calle Comercial,6,0.54,70,Económico,0.3,548476
530,Indumentaria,109,25.0,63887,14.6,4899,8099,384,7,26,0,ABC1,6454,Centro Comercial,7,0.36,113,Premium,0.32,794752
531,Indumentaria,98,24.7,96335,13.3,1782,4154,541,4,536,0,C3,18735,Barrio Residencial,8,0.56,101,Medio-Alto,0.29,414868
532,Indumentaria,117,25.0,89444,10.4,3595,7976,482,4,46,1,C3,12013,Shopping,5,0.59,73,Económico,0.28,749070
533,Indumentaria,129,25.0,92358,13.0,2408,7534,573,5,45,0,C2,15498,Shopping,15,0.57,97,Premium,0.3,805197
534,Indumentaria,125,25.0,84254,6.1,1901,3806,436,7,49,0,C3,14789,Calle Comercial,6,0.54,76,Económico,0.28,484225
535,Indumentaria,116,25.0,82975,1.1,2872,3592,504,6,345,0,C2,10039,Barrio Residencial,9,0.49,92,Medio-Alto,0.28,425452
536,Indumentaria,111,25.0,58468,0.9,2079,5582,460,6,154,0,C3,14332,Calle Comercial,12,0.37,67,Económico,0.28,420858
537,Indumentaria,129,25.0,66634,3.9,2127,4999,505,3,124,0,C3,17863,Calle Comercial,8,0.49,75,Económico,0.26,541164
538,Indumentaria,106,25.0,63485,1.4,2164,7165,502,4,2,1,C3,21304,Centro Comercial,7,0.38,82,Medio,0.27,541789
539,Indumentaria,96,25.0,81852,11.2,2260,6863,558,7,143,0,C3,17284,Calle Comercial,12,0.59,85,Medio,0.28,662916
540,Indumentaria,112,20.5,85938,13.5,1804,5767,421,7,45,0,D,17790,Calle Comercial,6,0.49,84,Medio,0.29,425751
541,Indumentaria,129,25.0,80349,8.9,4132,10660,446,5,47,0,ABC1,6034,Centro Comercial,10,0.48,130,Premium,0.28,812062
542,Indumentaria,95,21.0,59752,7.0,4086,7894,383,4,600,0,ABC1,5210,Barrio Residencial,14,0.46,130,Premium,0.3,516998
543,Indumentaria,93,19.4,96390,1.5,1362,5315,455,4,21,0,C3,18830,Calle Comercial,7,0.41,90,Medio,0.29,272940
544,Indumentaria,137,22.5,56965,1.2,1991,6380,432,4,3,0,D,19916,Shopping,3,0.57,72,Económico,0.27,552149
545,Indumentaria,127,25.0,83215,15.0,3747,5639,522,6,192,1,C2,14479,Calle Comercial,8,0.53,99,Premium,0.26,795255
546,Indumentaria,99,25.0,80969,8.7,2259,6759,466,8,270,1,C3,19287,Calle Comercial,10,0.45,72,Económico,0.31,547336
547,Indumentaria,130,25.0,74014,11.2,3003,7002,521,7,277,0,C3,19186,Calle Comercial,13,0.36,72,Económico,0.29,750377
548,Indumentaria,98,16.3,75650,0.2,1422,4378,450,5,243,0,D,20838,Barrio Residencial,9,0.35,66,Económico,0.27,295491
549,Indumentaria,104,23.7,94335,4.9,1660,6508,479,6,25,0,D,15927,Shopping,9,0.57,58,Económico,0.29,531521
550,Indumentaria,143,25.0,84871,1.3,2434,13213,567,6,10,0,C2,17893,Shopping,10,0.38,88,Medio-Alto,0.31,554880
551,Indumentaria,114,25.0,92708,4.1,1493,4929,414,8,571,0,C3,12939,Barrio Residencial,5,0.59,78,Económico,0.3,290579
552,Indumentaria,91,25.0,95237,9.1,1411,4946,519,4,513,1,C3,12672,Barrio Residencial,8,0.38,78,Económico,0.3,320210
553,Indumentaria,125,25.0,81321,0.2,3248,4780,517,7,194,0,C2,11407,Calle Comercial,7,0.44,109,Premium,0.26,667958
554,Indumentaria,134,22.5,71367,3.4,868,4248,572,5,270,0,D,22699,Barrio Residencial,10,0.42,75,Económico,0.27,302490
555,Indumentaria,127,25.0,83572,1.9,1727,5160,542,5,27,1,C3,18096,Calle Comercial,10,0.4,74,Económico,0.26,311529
556,Indumentaria,110,25.0,71282,4.1,3207,12973,445,5,35,1,ABC1,5098,Centro Comercial,14,0.43,101,Premium,0.27,728839
557,Indumentaria,90,24.7,63051,5.1,1473,5505,480,2,362,0,C3,19349,Barrio Residencial,16,0.47,78,Económico,0.27,267591
558,Indumentaria,90,25.0,87097,13.5,2053,5958,578,4,158,0,C3,17637,Calle Comercial,5,0.49,81,Medio,0.26,499136
559,Indumentaria,130,25.0,90558,11.0,1614,4705,608,3,532,1,C3,20072,Barrio Residencial,8,0.53,86,Medio,0.27,357967
560,Indumentaria,110,25.0,93587,8.9,2689,3618,566,7,286,1,C3,17470,Barrio Residencial,13,0.42,80,Económico,0.3,388418
561,Indumentaria,96,17.5,92353,0.9,1105,6666,430,4,259,0,C3,18911,Calle Comercial,5,0.59,100,Medio-Alto,0.32,331725
562,Indumentaria,125,23.7,87891,1.0,1954,4015,469,8,728,1,D,23001,Barrio Residencial,9,0.46,73,Económico,0.25,390223
563,Indumentaria,140,25.0,84101,9.4,4638,7182,535,9,4,0,C3,17099,Shopping,14,0.58,79,Económico,0.26,987994
564,Indumentaria,96,25.0,96937,5.9,2025,6028,526,2,56,1,C3,19607,Calle Comercial,3,0.54,74,Económico,0.25,503036
565,Indumentaria,103,25.0,66014,0.2,1981,8472,503,6,18,1,C2,15099,Centro Comercial,9,0.47,102,Medio-Alto,0.32,486797
566,Indumentaria,100,22.4,83703,12.1,1405,5491,490,5,65,0,D,18674,Calle Comercial,14,0.52,63,Económico,0.27,520078
567,Indumentaria,143,21.9,82339,3.2,2342,3881,652,5,130,1,D,24642,Calle Comercial,15,0.37,62,Económico,0.3,512200
568,Indumentaria,144,22.0,75126,5.4,2084,4917,604,5,30,1,D,19539,Centro Comercial,10,0.5,89,Económico,0.29,715206
569,Indumentaria,119,25.0,88579,5.4,1964,6400,423,5,102,0,C3,16846,Calle Comercial,11,0.57,86,Medio,0.31,539030
570,Indumentaria,128,22.3,86819,10.3,1357,3210,503,6,275,0,D,16504,Barrio Residencial,8,0.44,87,Medio,0.27,360876
571,Indumentaria,103,25.0,62335,9.3,1820,8934,398,4,36,0,C2,11834,Centro Comercial,7,0.58,91,Premium,0.3,601583
572,Indumentaria,121,25.0,76090,6.9,3092,7570,443,7,284,1,C2,13575,Calle Comercial,8,0.41,96,Premium,0.29,694653
573,Indumentaria,106,22.2,69796,5.9,1447,5156,452,6,197,0,D,16344,Calle Comercial,11,0.37,76,Económico,0.28,386712
574,Indumentaria,102,23.4,82729,4.6,3764,4610,499,8,147,0,C2,11073,Calle Comercial,9,0.42,101,Premium,0.27,691465
575,Indumentaria,121,25.0,85256,10.1,3212,8678,451,8,62,0,ABC1,10597,Calle Comercial,17,0.51,135,Premium,0.29,676436
576,Indumentaria,138,25.0,85461,1.3,4623,14412,401,4,37,0,ABC1,5590,Shopping,9,0.39,113,Premium,0.28,890122
577,Indumentaria,95,25.0,91691,6.2,4423,12011,424,5,38,1,ABC1,9016,Shopping,10,0.39,114,Premium,0.3,1039034
578,Indumentaria,101,17.2,68989,1.6,769,4258,458,5,656,0,D,16791,Barrio Residencial,13,0.46,61,Económico,0.27,202692
579,Indumentaria,104,22.4,72559,4.0,1997,3748,413,9,728,0,C3,16024,Barrio Residencial,7,0.53,88,Medio,0.32,392497
580,Indumentaria,115,25.0,69467,4.4,2860,11607,330,3,28,0,ABC1,8591,Centro Comercial,4,0.38,104,Premium,0.32,584691
581,Indumentaria,134,25.0,99801,4.9,4276,3342,575,6,258,0,C3,20357,Barrio Residencial,15,0.39,90,Medio-Alto,0.3,667527
582,Indumentaria,120,25.0,61078,3.2,3217,6606,590,8,287,1,C3,13678,Calle Comercial,11,0.4,79,Económico,0.3,783362
583,Indumentaria,131,25.0,98224,4.9,2718,5485,458,3,727,0,C2,16742,Barrio Residencial,9,0.47,82,Medio,0.26,464393
584,Indumentaria,140,23.3,92873,6.2,2056,4099,593,3,57,1,D,21610,Calle Comercial,12,0.54,89,Económico,0.29,452865
585,Indumentaria,141,21.4,75695,11.7,1286,7274,407,8,3,0,D,17162,Shopping,5,0.43,78,Económico,0.28,498493
586,Indumentaria,92,16.6,87392,4.3,1605,5218,530,2,61,0,D,23409,Calle Comercial,14,0.39,84,Económico,0.27,388040
587,Indumentaria,140,25.0,96713,1.9,2959,8112,445,7,18,0,C3,14487,Shopping,13,0.43,87,Medio,0.3,725201
588,Indumentaria,124,23.7,81976,1.8,2308,4708,457,9,112,0,C2,11026,Calle Comercial,6,0.54,98,Medio-Alto,0.29,537413
589,Indumentaria,101,25.0,99522,6.1,2239,5982,563,5,22,1,C3,12171,Calle Comercial,8,0.35,94,Medio-Alto,0.28,674536
590,Indumentaria,97,21.6,82862,0.6,1417,3869,445,4,567,0,D,17301,Barrio Residencial,7,0.52,65,Económico,0.29,325197
591,Indumentaria,134,25.0,65553,11.2,2312,6011,544,6,209,1,C2,16077,Barrio Residencial,12,0.6,96,Medio-Alto,0.28,675989
592,Indumentaria,102,24.3,86998,0.1,1586,4663,489,4,729,0,C2,15632,Barrio Residencial,14,0.47,93,Medio-Alto,0.3,338770
593,Indumentaria,135,25.0,62102,10.4,3158,7351,547,5,6,1,C3,17511,Centro Comercial,12,0.39,76,Económico,0.28,977953
594,Indumentaria,134,22.9,57497,10.8,1520,3816,470,7,222,1,D,15216,Calle Comercial,4,0.4,72,Económico,0.31,484644
595,Indumentaria,101,21.7,99416,11.0,929,4384,562,6,229,0,D,23644,Calle Comercial,14,0.5,66,Económico,0.25,346023
596,Indumentaria,120,25.0,61662,6.6,3463,8656,413,4,2,0,ABC1,8643,Centro Comercial,4,0.55,113,Premium,0.3,813420
597,Indumentaria,97,25.0,79017,0.3,1632,9733,453,4,6,1,C3,12784,Shopping,12,0.48,74,Económico,0.32,457614
598,Indumentaria,129,23.3,63327,1.7,1205,5416,490,6,262,1,D,20579,Calle Comercial,11,0.38,65,Económico,0.31,473288
599,Indumentaria,131,21.5,84529,8.4,1656,7901,502,5,40,0,D,21474,Centro Comercial,12,0.4,83,Económico,0.31,473782
600,Indumentaria,115,25.0,84934,12.3,1651,7496,504,7,197,0,C2,10472,Calle Comercial,9,0.44,100,Premium,0.29,427066
601,Farmacia,98,12.1,65545,10.1,1196,4521,722,6,33,0,D,20475,Calle Comercial,6,0.12,17,Económico,0.08,675829
602,Farmacia,81,14.4,81279,1.2,497,3795,709,4,84,0,D,18468,Calle Comercial,2,0.16,14,Económico,0.07,389490
603,Farmacia,135,21.1,43327,0.6,1302,3984,646,3,62,0,C3,15109,Calle Comercial,5,0.17,14,Económico,0.08,454159
604,Farmacia,89,16.1,58334,1.0,965,5932,715,4,245,0,C3,18649,Calle Comercial,3,0.18,19,Medio,0.08,384639
605,Farmacia,110,21.2,94936,0.5,1260,3555,839,5,433,0,C3,16322,Barrio Residencial,9,0.08,15,Económico,0.09,446969
606,Farmacia,127,23.0,89328,11.7,1675,5177,720,5,323,0,C2,14935,Barrio Residencial,3,0.1,25,Premium,0.08,537055
607,Farmacia,95,14.1,84676,14.2,1898,4436,885,5,138,0,C3,16665,Calle Comercial,8,0.18,16,Económico,0.06,904169
608,Farmacia,116,15.6,50187,3.0,1395,5017,900,4,181,0,C3,20850,Calle Comercial,7,0.16,18,Medio,0.07,602186
609,Farmacia,134,21.0,40922,14.6,914,2395,900,7,723,0,D,16851,Barrio Residencial,7,0.14,12,Económico,0.08,547560
610,Farmacia,91,19.9,66194,0.9,427,2260,841,5,640,1,D,16059,Barrio Residencial,7,0.11,19,Económico,0.07,332852
611,Farmacia,92,25.0,46848,0.0,1986,8622,936,5,3,1,C2,12101,Centro Comercial,5,0.16,27,Premium,0.07,740862
612,Farmacia,117,20.3,82339,0.9,1111,7300,925,6,27,0,D,16870,Centro Comercial,1,0.09,15,Económico,0.08,681149
613,Farmacia,118,23.9,47765,3.9,1941,8712,619,4,21,0,C2,11454,Calle Comercial,2,0.09,27,Premium,0.07,708778
614,Farmacia,94,13.9,64733,0.2,2086,4751,949,9,19,0,C3,16353,Centro Comercial,10,0.08,24,Premium,0.07,957525
615,Farmacia,118,25.0,46659,0.8,1551,5933,949,8,579,1,C2,14893,Barrio Residencial,14,0.12,23,Premium,0.06,695869
616,Farmacia,104,23.3,82710,4.6,1468,8298,903,6,37,1,C2,13950,Centro Comercial,8,0.09,21,Premium,0.08,813752
617,Farmacia,106,19.5,68155,6.6,1635,5447,681,4,0,0,C3,14516,Shopping,7,0.15,21,Medio-Alto,0.08,788835
618,Farmacia,104,16.4,58323,0.3,1070,7290,712,4,28,0,D,18316,Shopping,5,0.15,16,Económico,0.08,680017
619,Farmacia,93,20.9,70852,0.1,1202,7377,527,7,35,0,ABC1,9686,Centro Comercial,7,0.12,19,Medio-Alto,0.06,541872
620,Farmacia,117,17.0,64049,1.4,1556,5660,753,6,37,0,C3,17933,Shopping,5,0.16,15,Económico,0.08,840803
621,Farmacia,94,14.0,78637,1.1,1405,2940,812,5,197,0,D,18422,Calle Comercial,3,0.17,14,Económico,0.08,738750
622,Farmacia,134,20.5,62642,0.7,1428,3243,671,6,532,0,C3,14277,Barrio Residencial,10,0.14,20,Medio,0.08,448516
623,Farmacia,91,12.2,56486,5.5,3330,3284,894,5,266,0,C3,13739,Calle Comercial,9,0.1,17,Económico,0.06,1110613
624,Farmacia,89,17.9,80286,1.7,2000,3856,949,6,142,1,D,24620,Calle Comercial,10,0.18,17,Económico,0.07,965411
625,Farmacia,124,19.5,81737,0.9,1536,6332,820,5,76,0,C3,19967,Calle Comercial,8,0.08,19,Medio,0.08,713351
626,Farmacia,124,21.8,83136,0.9,1151,5099,934,2,220,0,C3,15374,Calle Comercial,7,0.15,16,Económico,0.07,617344
627,Farmacia,93,17.6,65263,1.0,531,4955,875,5,24,0,D,24410,Centro Comercial,17,0.12,16,Económico,0.06,564970
628,Farmacia,83,12.8,74923,14.7,1323,4742,666,7,206,0,C3,16848,Calle Comercial,16,0.17,23,Medio-Alto,0.07,565115
629,Farmacia,111,25.0,61799,0.5,2398,4458,845,5,240,1,C3,19477,Barrio Residencial,9,0.15,17,Económico,0.06,733230
630,Farmacia,95,14.2,62865,4.7,1979,6579,759,6,20,0,C2,11197,Shopping,13,0.12,23,Premium,0.07,1134733
631,Farmacia,106,19.4,91274,4.0,1414,2474,729,8,703,0,D,24359,Barrio Residencial,10,0.12,19,Económico,0.08,644972
632,Farmacia,123,25.0,44776,1.8,2722,6957,930,6,39,1,C2,16932,Centro Comercial,10,0.16,23,Premium,0.06,1158550
633,Farmacia,106,19.8,82783,3.2,1492,10480,673,5,20,1,C3,14675,Shopping,4,0.17,14,Económico,0.09,704801
634,Farmacia,109,18.8,84733,13.5,1172,2924,775,5,165,0,D,16901,Calle Comercial,8,0.12,19,Económico,0.09,712428
635,Farmacia,87,12.5,59944,1.7,1477,5484,716,5,126,0,C3,16809,Calle Comercial,7,0.1,23,Medio-Alto,0.08,500325
636,Farmacia,101,14.7,59107,11.6,1035,4558,832,5,338,0,D,23686,Barrio Residencial,11,0.07,14,Económico,0.06,774051
637,Farmacia,88,13.7,86791,14.7,1332,2997,728,7,525,0,C2,12353,Barrio Residencial,13,0.13,21,Premium,0.09,447534
638,Farmacia,99,22.8,87148,1.3,2163,5816,674,2,519,0,ABC1,7891,Barrio Residencial,13,0.14,25,Premium,0.07,504340
639,Farmacia,99,23.5,93041,7.0,1051,2671,833,8,274,1,D,23776,Barrio Residencial,3,0.08,20,Económico,0.07,419433
640,Farmacia,133,21.4,66619,9.8,1652,8557,737,3,22,0,C3,12721,Centro Comercial,11,0.13,23,Premium,0.07,701388
641,Farmacia,135,25.0,64863,0.3,1577,5336,708,8,134,0,C3,13183,Calle Comercial,12,0.12,18,Económico,0.07,588800
642,Farmacia,91,23.0,87789,1.5,1894,5745,633,7,289,0,ABC1,5789,Barrio Residencial,13,0.14,26,Premium,0.08,606844
643,Farmacia,86,15.7,77968,12.7,2349,8522,726,5,64,0,ABC1,5549,Calle Comercial,17,0.17,27,Premium,0.07,736011
644,Farmacia,86,15.1,89771,10.7,1265,3355,694,4,47,0,C3,21504,Calle Comercial,11,0.12,22,Medio-Alto,0.07,769722
645,Farmacia,86,11.3,87172,4.2,1542,5747,608,6,298,0,C3,13703,Calle Comercial,7,0.14,16,Económico,0.07,589864
646,Farmacia,101,25.0,77472,8.9,1506,8539,685,8,4,1,C3,13069,Shopping,8,0.16,19,Medio,0.06,836455
647,Farmacia,95,25.0,92161,5.9,2043,8123,902,3,3,1,C3,20914,Shopping,8,0.17,19,Medio,0.06,1226293
648,Farmacia,111,17.0,84564,6.5,1260,5988,738,6,69,0,C3,17655,Calle Comercial,3,0.1,19,Medio,0.06,470299
649,Farmacia,95,18.0,71178,11.6,2335,9178,682,2,34,0,ABC1,7225,Shopping,11,0.17,27,Premium,0.07,743300
650,Farmacia,82,12.1,60414,5.8,1157,4139,762,6,483,0,C3,13917,Barrio Residencial,8,0.11,18,Medio,0.06,477049
651,Farmacia,106,24.6,90066,13.8,2492,9074,551,8,39,0,ABC1,7542,Centro Comercial,16,0.15,27,Premium,0.08,988798
652,Farmacia,132,20.2,58270,1.2,719,5207,836,4,31,0,D,18543,Centro Comercial,3,0.12,15,Económico,0.09,677759
653,Farmacia,104,15.6,55506,5.8,1964,3171,894,7,226,0,ABC1,11279,Barrio Residencial,1,0.15,19,Premium,0.06,613128
654,Farmacia,116,25.0,53859,13.8,3449,7362,949,4,12,1,ABC1,10310,Centro Comercial,5,0.14,29,Premium,0.06,1209877
655,Farmacia,82,13.8,42121,3.6,619,5641,949,5,17,0,D,17537,Centro Comercial,10,0.11,12,Económico,0.08,639343
656,Farmacia,100,23.0,45095,6.1,982,5364,949,9,82,1,D,21313,Calle Comercial,15,0.16,20,Económico,0.08,834014
657,Farmacia,89,21.2,43128,4.3,1165,6680,949,7,20,1,D,23156,Centro Comercial,15,0.14,13,Económico,0.07,752585
658,Farmacia,104,25.0,69044,1.7,1734,6510,916,4,277,1,C2,14910,Calle Comercial,3,0.09,20,Medio,0.09,955734
